N,Structure,Operation,Time
18000,Doubly Unsorted,Predecessor,0.00004700
18000,Doubly Unsorted,Successor,0.00004900
18000,Doubly Sorted,Search,0.00004600
18000,Doubly Sorted,Insert,0.00004400
18000,Doubly Sorted,Delete,0.00000000
18000,Doubly Sorted,Max,0.00000000
18000,Doubly Sorted,Min,0.00000000
18000,Doubly Sorted,Predecessor,0.00000000
18000,Doubly Sorted,Successor,0.00000100
20000,Unsorted Array,Search,0.00002600
20000,Unsorted Array,Insert,0.00000000
20000,Unsorted Array,Delete,0.00000000
20000,Unsorted Array,Max,0.00003700
20000,Unsorted Array,Min,0.00004000
20000,Unsorted Array,Predecessor,0.00005200
20000,Unsorted Array,Successor,0.00004500
20000,Sorted Array,Search,0.00000000
20000,Sorted Array,Insert,0.00004100
20000,Sorted Array,Delete,0.00006900
20000,Sorted Array,Max,0.00000000
20000,Sorted Array,Min,0.00000000
20000,Sorted Array,Predecessor,0.00000000
20000,Sorted Array,Successor,0.00000000
20000,Singly Unsorted,Search,0.00004300
20000,Singly Unsorted,Insert,0.00000000
20000,Singly Unsorted,Delete,0.00008500
20000,Singly Unsorted,Max,0.00004100
20000,Singly Unsorted,Min,0.00004500
20000,Singly Unsorted,Predecessor,0.00004600
20000,Singly Unsorted,Successor,0.00004700
20000,Singly Sorted,Search,0.00004400
20000,Singly Sorted,Insert,0.00004000
20000,Singly Sorted,Delete,0.00003500
20000,Singly Sorted,Max,0.00000000
20000,Singly Sorted,Min,0.00000000
20000,Singly Sorted,Predecessor,0.00001800
20000,Singly Sorted,Successor,0.00000000
20000,Doubly Unsorted,Search,0.00005300
20000,Doubly Unsorted,Insert,0.00000000
20000,Doubly Unsorted,Delete,0.00000000
20000,Doubly Unsorted,Max,0.00005000
20000,Doubly Unsorted,Min,0.00005300
20000,Doubly Unsorted,Predecessor,0.00005200
20000,Doubly Unsorted,Successor,0.00005700
20000,Doubly Sorted,Search,0.00005200
20000,Doubly Sorted,Insert,0.00004900
20000,Doubly Sorted,Delete,0.00000000
20000,Doubly Sorted,Max,0.00000000
20000,Doubly Sorted,Min,0.00000000
20000,Doubly Sorted,Predecessor,0.00000000
20000,Doubly Sorted,Successor,0.00000000
